text	label
I tried to buy something online yesterday but it wouldn't stop saying declined. Tried again today but same thing happened. What's Broken?	declined_transfer
I have checked my statements multiple times, but my refund that I requested a while back is not showing on my account. Is there a reason for this? Can I get some help getting my money back from this transaction?	Refund_not_showing_up
I can't upload my identification.	unable_to_verify_identity
Can I deposit money using Apple Pay?	apple_pay_or_google_pay
Am I able to choose my card?	visa_or_mastercard
Can I hold more than one currency?	fiat_currency_support
I topped off my card is that something you will charge me for?	top_up_by_card_charge
What is the estimated time on an urgent transfer from China?	transfer_timing
Why have I been charged a small fee to use my card?	card_payment_fee_charged
I have a transaction that shows several times	transaction_charged_twice
Why was I charged extra when paying with card?	card_payment_fee_charged
How long is delivery to the US?	card_delivery_estimate
I got married and need to change my name.	edit_personal_details
I forgot the code to access the app.	passcode_forgotten
why do you charge for transfers?	top_up_by_bank_transfer_charge
After the transfer, the balance did not update.	balance_not_updated_after_bank_transfer
will i be able to open an account for my daughter	age_limit
How's the exchange rate looking right now?	exchange_rate
Why does my statement show various transaction times?	transaction_charged_twice
Is it possible to track the card you sent me?	card_arrival
Can both a Visa and Mastercard be received from you?	visa_or_mastercard
I cannot get my virtual card to function.	virtual_card_not_working
What do I do to get ahold of my own card?	order_physical_card
How many days until my US transfer arrives?	transfer_timing
Do I get an actual card?	order_physical_card
I have heard about these disposable virtual cards but don't understand how they work.	get_disposable_virtual_card
What happened to my cash deposit?	balance_not_updated_after_cheque_or_cash_deposit
Can I use my card at an ATM?	atm_support
I have to make more then a few disposable cards per day.	disposable_card_limits
What stores will take my credit card as payment?	card_acceptance
I have enough money in my account, so why is my card being declined?	declined_card_payment
Are you sure this is the interbank exchange rate? This rate is really bad.	card_payment_wrong_exchange_rate
I don't have a password.	passcode_forgotten
I noticed that my card was charged more than once for one thing.	transaction_charged_twice
Is the system down? I've been trying to do a transfer and have failed?	failed_transfer
I noticed after looking over my transactions that I have been charged twice from an earlier restaurant visit this week. Is it possible that one of these can be removed so I get the money back for the one that is not accurate?	transaction_charged_twice
How long does a European transfer take?	transfer_timing
One of my payments was doubled	transaction_charged_twice
Why hasn't payment gone through yet?	pending_card_payment
I need to exchange my GBP to AUD, how would I do this?	exchange_via_app
There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there.	extra_charge_on_statement
where are the transfers originating	verify_source_of_funds
When will my card come? I need it as soon as possible!	card_delivery_estimate
What are the countries you support.	country_support
Can I top up my account with a cheque?	top_up_by_cash_or_cheque
I can't make any transfers, they won't go through, the details are correct as I checked them.  Can you look in to this please?	declined_transfer
Can you tell me why my transfer declined?	declined_transfer
What is the process for activating my card and using it?	activate_my_card
how much to get my card in 2 days?	card_delivery_estimate
Can I get an update on my replacement card?	card_arrival
My top-up was just cancelled.	top_up_reverted
I just replaced my phone but how do I use my card information?	lost_or_stolen_phone
Oh my goodness, my card has been declined twice at ATM! I tried two different ATM, but each one declined my card! Can you tell me what's going on with my account?	declined_cash_withdrawal
Somebody used my card without my knowledge!	compromised_card
Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying.	reverted_card_payment?
Help me. My transfer was declined. How could this happen?	declined_transfer
If my kids wanted to use your service how old would they have to be?	age_limit
What can you tell me about the card PIN?	get_physical_card
What should I do if I have used all of my PIN tries?	pin_blocked
I need my card to come as soon as possible.	card_delivery_estimate
How long will it take for my cash withdrawal to stop pending	pending_cash_withdrawal
