text	label
My card was not accepted.	declined_card_payment
I'm trying to make a bank transfer but It's not going through. Could there not be enough funds to transfer or something? Have I done it too many times?	failed_transfer
If i'm not in the UK, can I still get a card?	country_support
What is the top-up limit on my cards?	top_up_limits
I want a reason as to why my beneficiary is not allowed?	beneficiary_not_allowed
I can't find my PIN anywhere.	get_physical_card
The transfer keeps failing , I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, Would you please check the issue ?	failed_transfer
I was charged and shouldn't have been charged when using my card!	card_payment_fee_charged
Where can I locate my PIN at?	get_physical_card
My card needs to be activated asap	activate_my_card
Why is there a $1 charge on my statement?	extra_charge_on_statement
Cash I did not get showed up in my account	cash_withdrawal_not_recognised
Somebody is taking money out of my account without my approval in another town separate from me. Please place a freeze on my account until I can make it to the bank.	cash_withdrawal_not_recognised
I see an extra $1  charge on my statement, why is this?	extra_charge_on_statement
I used my card and there was a fee	card_payment_fee_charged
are there any country restrictions?	country_support
How can i make my card active?	activate_my_card
I am getting an error stating my transfer is not possible while transferring money. Let me know the issue as its the first time i am getting error, earlier it used to work.	beneficiary_not_allowed
Why was I charged an additional fee when paying with card?	card_payment_fee_charged
When will the transfer be completed?	pending_transfer
What are the rules for a top-up?	top_up_limits
Will my new card work outside of the EU?	country_support
What is preventing me from adding a specific beneficiary?	beneficiary_not_allowed
My balance was not updated with my checque or cash deposit.	balance_not_updated_after_cheque_or_cash_deposit
I use GBP for my salary deposits. Must I set this up somewhere?	receiving_money
Can I get a card that works in other countries like Africa and Indonesia?	country_support
How do I receive a card?	order_physical_card
I cannot seem to find my PIN. Where is it?	get_physical_card
I just received my card and I'd like to activate it.	activate_my_card
I cannot locate the card PIN.	get_physical_card
Do you send duplicate cards?	getting_spare_card
Do I get charged if I am receiving money?	top_up_by_bank_transfer_charge
My funds are not transferring to my bank. Why is this not working?	beneficiary_not_allowed
How much does a transfer cost?	top_up_by_bank_transfer_charge
Pending still shows on this transfer, why?	pending_transfer
Why has my card been declined?	declined_card_payment
Where can I locate my card PIN?	get_physical_card
|I moved out of my old house two weeks ago and cancelled my direct debit to my old landlord, this direct debit was working fine.  Now I've moved in to a new place and set up a transfer to a new landlord but it's not reached her yet, can you check it please?	transfer_not_received_by_recipient
