text	label
Will I see the transfer in my account within the week?	transfer_timing
What are the steps to verify identity?	verify_my_identity
top up is still pending	pending_top_up
Why did the ATM give me less money than what I requested?	wrong_amount_of_cash_received
I'm not sure why my top up request was denied	top_up_failed
The card is non-functional.	card_not_working
I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?	lost_or_stolen_card
Is it possible to purchase more physical cards with my account?	getting_spare_card
Will I be charged for a SEPA transfer?	top_up_by_bank_transfer_charge
For physical cards, do you charge?	order_physical_card
I couldn't do a transfer to an account	beneficiary_not_allowed
Can I get a new pin number at any ATM using my card?	change_pin
Will the duplicated payment be refunded?	transaction_charged_twice
Why is my beneficiary not being allowed to get payment services?	beneficiary_not_allowed
I want to use my card, how would I activate it?	activate_my_card
Why was my cash withdrawal declined?	declined_cash_withdrawal
What do I do to activate my new card?	activate_my_card
Can I have a discount if I exchange currency often?	exchange_charge
Why is it asking me to verify my identity	why_verify_identity
I would like to know any restrictions for the disposable cards.	disposable_card_limits
Is it possible for friends to top up my account?	topping_up_by_card
Does Apple Watch support the topping-off of my account?	apple_pay_or_google_pay
I'm waiting for the ID verification to go through still, so is it too soon to use my account?	why_verify_identity
Can I change my pin through the app?	change_pin
Is my PIN the same thing as my passcode?	get_physical_card
I am looking to change my adress.	edit_personal_details
Where do I top up?	top_up_by_cash_or_cheque
Can it automatically top up my account?	automatic_top_up
Where do I find the top-up verification code?	verify_top_up
Can you tell me my code to get into the app?	passcode_forgotten
What is the limit to a top-up?	top_up_limits
My app says I made a withdrawal, but I didn't.	cash_withdrawal_not_recognised
Can you show me how to top up with Google play?	apple_pay_or_google_pay
I transferred money yesterday, but it still isn't available?	pending_transfer
Why hasn't my cheque processed?	balance_not_updated_after_cheque_or_cash_deposit
I believe my card payment were reverted	reverted_card_payment?
I didn't make a payment at this business.	card_payment_not_recognised
I'm not able to withdraw money from the ATM but I'm not sure why.	declined_cash_withdrawal
I couldn't make a transfer	failed_transfer
How do I get a refund for an unauthorized direct debit payment?	direct_debit_payment_not_recognised
My card doesn't accept any transaction at all. What's wrong??	card_not_working
My card payment is just showing up as pending since forever, what's going on with that, when should it be going through?	pending_card_payment
How can my friends top up my account?	topping_up_by_card
Can I use my card at any ATMs?	atm_support
I should not have been charged a fee for cash withdrawal.	cash_withdrawal_charge
How can I get my money back on an order. I haven't gotten the item yet, so I want to cancel the order. How?	request_refund
Can it be delivered on a certain date?	card_delivery_estimate
I have exceeded the number of PIN attempts	pin_blocked
The app is having trouble verifying my identity.	unable_to_verify_identity
I noticed that my card was charged more than once for one thing.	transaction_charged_twice
How do I take a block off my card?	pin_blocked
Am I able to do top-ups with Google Pay?	apple_pay_or_google_pay
My card is lost! What can I do?	lost_or_stolen_card
Are there cash machines where I can change my PIN?	change_pin
Hello I changed my mind and really need a refund on one of things I bought recently. Can you please cancel the transaction and get me my money back. Pls it's urgent	request_refund
Who can I speak with regarding a lost card?	lost_or_stolen_card
where do I top up my google pay?	apple_pay_or_google_pay
What are the steps for getting money from a friend?	receiving_money
Is there a limit on auto top-up?	automatic_top_up
They used the wrong rate when I made a purchase with foreign currency.	card_payment_wrong_exchange_rate
I tried to buy something online yesterday but it wouldn't stop saying declined. Tried again today but same thing happened. What's Broken?	declined_transfer
Can you provide information for freezing my card immediately?	lost_or_stolen_card
How do I know which countries you provide service in?	country_support
Will I get charged for sending out more cards?	getting_spare_card
The contactless payments are not working.	contactless_not_working
How would I go about getting a second card?	getting_spare_card
My account is blocked, how do I log in now	pin_blocked
Can I keep using my card after it expires?	card_about_to_expire
I have left my card at my parents house. Can you send me a spare one please to use in the meantime?	getting_spare_card
Could you assist me in finding my lost card?	lost_or_stolen_card
There is a 1£ charge that appears as pending on my statement. What is that? I haven't purchased anything for a pound there.	extra_charge_on_statement
What happens if I use my account and my identity verification hasn't finished?	why_verify_identity
How long will my top-up be pending?	pending_top_up
How old can one use your service?	age_limit
Why is my beneficiary not allowed?	beneficiary_not_allowed
Please help me set up a new PIN.	change_pin
Where can I go to find out how to verify my identity?	verify_my_identity
Why have I not received a virtual card yet?	getting_virtual_card
I would like to transfer some money from my other bank account into this one.	transfer_into_account
Can I have an item refunded?	request_refund
how secure is a disposable virtual card	get_disposable_virtual_card
There are a couple payments with my card shown in the app that i really didn't make myself. What's happenning with this, does someone has access to my card?!	card_payment_not_recognised
I need a transaction reversed from my account.	transaction_charged_twice
What proof of identification is needed?	verify_my_identity
Why didn't I receive the right amount of cash at the ATM?	wrong_amount_of_cash_received
What methods can I use to add money to my account?	transfer_into_account
I need to activate my card can you do that now?	activate_my_card
Why was I charged for getting cash?	cash_withdrawal_charge
What is the daily limit on my card?	top_up_limits
Can you tell me where to go to get a disposable virtual card?	get_disposable_virtual_card
My card was stolen. What do I need to do?	lost_or_stolen_card
Can I have multiple currencies in my account?	fiat_currency_support
My card is going to expire, what do I do?	card_about_to_expire
Whats the limit on my top up	top_up_limits
I deposited money but my balance hasn't been updated yet.	balance_not_updated_after_cheque_or_cash_deposit
Why hasn't my account updated?	balance_not_updated_after_cheque_or_cash_deposit
My card is about to expire.  How do I order another?	card_about_to_expire
The app doesn't recognize me.	unable_to_verify_identity
Why did I get declined when trying to get cash?	declined_cash_withdrawal
How do I go about ordering a new bank card?	card_about_to_expire
What type of ATMs accept this card?	atm_support
My virtual card won't work.	virtual_card_not_working
Are your cards available in the EU?	country_support
Where do I find my PIN for my new card?	get_physical_card
I withdrew money and got a fee, please explain	cash_withdrawal_charge
Help! My account doesn't show any funds. Is transferring funds an option I can use?	transfer_into_account
Can i make transactions before identity verification is complete?	why_verify_identity
I didn't receive all the cash I asked for	wrong_amount_of_cash_received
I need more money in my account. Can I add more by transferring?	transfer_into_account
I would like to receive a refund for something I bought.	request_refund
What can I do if contactless doesn't work?	contactless_not_working
I tried using my ATM card at your Notting Hill location today.  It did not work.  Am I doing something wrong?	declined_cash_withdrawal
what steps do i do to get a real card	order_physical_card
